text,text_clean,skor sentimen,sentimen
"AS Perketat Pembatasan di Tengah Kekhawatiran Omicron, 83 Negara Masuk Kategori Level 4 https://t.co/lrDGxNMbDx… https://t.co/Hg3z05F1zE",as perketat pembatasan kekhawatiran omicron negara masuk kategori level,-2,negatif
"Hujan Tak Jadi Penghalang, Polsek Tabanan Laksanakan Yustisi PPKM Level II
 #Covid19 #omicron #PolsekTabanan #PPKM… https://t.co/L58E8yVDcW",hujan penghalang polsek tabanan laksanakan yustisi ppkm level ii covid omicron polsektabanan ppkm,-1,negatif
"RT @EScorraille: #Omicron, mini #Variant, maxi profit...",omicron mini variant maxi profit,1,positif
"RT @febriani3690: Fyp gini bukan? 
#Omicron #ZemmourVillepinte #บังทันมีไอจีแล้ว #SaudiArabianGP #btsoninstagram #방탄소년단 #supergreenpass #หั…",fyp gini omicron zemmourvillepinte saudiarabiangp btsoninstagram supergreenpass,0,netral
"RT @newsonepk: PPP Ke Lahore Main Ziyada Vote Ki Waja Se PMLN Ko Fikar Mand Hona Chahiy... https://t.co/b0iE5PJp2E 
#NewsOne #GForGharidah…",ppp lahore main ziyada vote waja pmln fikar mand hona chahiy gforgharidah,0,netral
"RT @newsonepk: G For Gharidah | 06-Dec-2021 | Amir Hassan | Jamshed Iqbal Cheema | Khea... https://t.co/CnpYyEWEeU 

#NewsOne #GForGharidah…",g for gharidah amir hassan jamshed iqbal cheema khea gforgharidah,0,netral
RT @UWAYODivin: Mu Bufaransa bafunze Discotheques ndetse bagiye no gukingira abana bafite hagati y'imyaka 5 na 11. Iwabo bamaze kubona case…,mu bufaransa bafunze discotheques ndetse bagiye no gukingira abana bafite hagati yimyaka iwabo bamaze kubona case,0,netral
Mu Bufaransa bafunze Discotheques ndetse bagiye no gukingira abana bafite hagati y'imyaka 5 na 11. Iwabo bamaze kub… https://t.co/CaOgIcCROt,mu bufaransa bafunze discotheques ndetse bagiye no gukingira abana bafite hagati yimyaka iwabo bamaze kub,0,netral
"Terjuman PTI Ki Pervez Khattak Kay Bayyan Ki Muzamat | PM w TM

Watch: https://t.co/pypLIUGLC8 

#NewsOne… https://t.co/5cLtbztBP5",terjuman pti pervez khattak kay bayyan muzamat pm w tm watch,0,netral
"PPP Ke Lahore Main Ziyada Vote Ki Waja Se PMLN Ko Fikar Mand Hona Chahiy... https://t.co/b0iE5PJp2E 
#NewsOne… https://t.co/l7Pjuyb9W4",ppp lahore main ziyada vote waja pmln fikar mand hona chahiy,0,netral
"G For Gharidah | 06-Dec-2021 | Amir Hassan | Jamshed Iqbal Cheema | Khea... https://t.co/CnpYyEWEeU 

#NewsOne… https://t.co/OGK4kD8JAO",g for gharidah amir hassan jamshed iqbal cheema khea,0,netral
"Apa gunanya dunia modern yang telah menyediakan cangkul dan sekop, sedangkan untuk ngurug tanah saja sekelas menter… https://t.co/tgPRCGaKNf",gunanya dunia modern menyediakan cangkul sekop ngurug tanah sekelas menter,1,positif
"Fyp gini bukan? 
#Omicron #ZemmourVillepinte #บังทันมีไอจีแล้ว #SaudiArabianGP #btsoninstagram #방탄소년단… https://t.co/FUY0aVc8RI",fyp gini omicron zemmourvillepinte saudiarabiangp btsoninstagram,0,netral
"Suno! Tum lahasil hi rehna
Warna qadar khoo doge...

#NCOC #TheMirzaMalikShow #HumKahanKeSachayThay #JUNGKOOK… https://t.co/Pu0GMgFxsE",suno tum lahasil rehna warna qadar khoo doge ncoc themirzamalikshow humkahankesachaythay jungkook,0,netral
RT @Aarti27356550: @PratikVashisth @Anuragtiwar1 @rajnehru33 @JCBoseUST For your kind information sari duniya m online exams chl rhe h jhat…,for your kind information sari duniya online exams,0,netral
@TWenseleers December/januari = 5de golf #Belgie #Omicron #European,decemberjanuari de golf belgie omicron european,0,netral
"🔥SATE 40 SEN SECUCUK

https://t.co/3F7rwxmQ42

https://t.co/ppEAjtvl5g

#satayipoh
#sataymurah
#satay
#ipoh… https://t.co/ZgfZL8ht2g",sate sen secucuk satayipoh sataymurah satay ipoh,0,netral
"#Omicron too
$MRNA $BNTX $VIR $ADGI https://t.co/SlNn6CFfL2",omicron too mrna bntx vir adgi,0,netral
"Varian Omicron Mungkin Lebih Menular, Tetapi Vaksin Masih Memberi Harapan

https://t.co/Blqh4XtQ93

#Omicron… https://t.co/b7MpXOw1K3",varian omicron menular vaksin harapan omicron,0,netral
"Triveni Ghat.....
.
..
.
..
.
..
.
#FortniteFlipped #DavisCruz #btsoninstagram #PushpaTrailer #DavisvsCruz… https://t.co/HlXkhG1U56",triveni ghat fortniteflipped daviscruz btsoninstagram pushpatrailer davisvscruz,0,netral
"Dehradun....
.
..
.
..
.
..
.
#FortniteFlipped #DavisCruz #btsoninstagram #PushpaTrailer #DavisvsCruz #BabriMasjid… https://t.co/MrNxMbphDO",dehradun fortniteflipped daviscruz btsoninstagram pushpatrailer davisvscruz babrimasjid,0,netral
"RT @Blissfulyoga_: Kedarnath Dham....
.
..
.
..
.
..
.
#FortniteFlipped #DavisCruz #btsoninstagram #PushpaTrailer #DavisvsCruz #BabriMasjid…",kedarnath dham fortniteflipped daviscruz btsoninstagram pushpatrailer davisvscruz babrimasjid,0,netral
"Kedarnath Dham....
.
..
.
..
.
..
.
#FortniteFlipped #DavisCruz #btsoninstagram #PushpaTrailer #DavisvsCruz… https://t.co/XRCkeSBNa0",kedarnath dham fortniteflipped daviscruz btsoninstagram pushpatrailer davisvscruz,0,netral
"Penyebaran Virus Omicron di India Meluas secara Lokal

#india #omicron #vaksinasi #virus #corona https://t.co/0v3mMB4q3L",penyebaran virus omicron india meluas lokal india omicron vaksinasi virus corona,-2,negatif
"Omicron Sampai Saudi, Komisi VIII DPR Minta Tinjau Ulang Keberangkatan Umrah

Selengkapnya Klik Tautan Berikut ini… https://t.co/RQkV6hOOvM",omicron saudi komisi viii dpr tinjau ulang keberangkatan umrah klik tautan,0,netral
