Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,2,0.01,0.01,0.35753160481322177
75% Corpus,2,0.01,0.31,0.366596193759624
75% Corpus,2,0.01,0.61,0.4003263623836153
75% Corpus,2,0.01,0.9099999999999999,0.4157379839429762
75% Corpus,2,0.01,symmetric,0.37256237990135865
75% Corpus,2,0.31,0.01,0.40082412079411134
75% Corpus,2,0.31,0.31,0.40461975959068686
75% Corpus,2,0.31,0.61,0.43296959126667
75% Corpus,2,0.31,0.9099999999999999,0.45143707345663
75% Corpus,2,0.31,symmetric,0.3823986270959365
75% Corpus,2,0.61,0.01,0.4252125865696319
75% Corpus,2,0.61,0.31,0.43179972864463334
75% Corpus,2,0.61,0.61,0.4356297089937489
75% Corpus,2,0.61,0.9099999999999999,0.4334314085019415
75% Corpus,2,0.61,symmetric,0.42795315894973046
75% Corpus,2,0.9099999999999999,0.01,0.40791993411944505
75% Corpus,2,0.9099999999999999,0.31,0.4304284148181817
75% Corpus,2,0.9099999999999999,0.61,0.4898958810539181
75% Corpus,2,0.9099999999999999,0.9099999999999999,0.46076778409107344
75% Corpus,2,0.9099999999999999,symmetric,0.44662879228570496
75% Corpus,2,symmetric,0.01,0.42629961074042433
75% Corpus,2,symmetric,0.31,0.4286504144242567
75% Corpus,2,symmetric,0.61,0.4236604365823573
75% Corpus,2,symmetric,0.9099999999999999,0.4251982948797435
75% Corpus,2,symmetric,symmetric,0.42366043658235725
75% Corpus,2,asymmetric,0.01,0.40420817056944325
75% Corpus,2,asymmetric,0.31,0.3300853334729778
75% Corpus,2,asymmetric,0.61,0.3126195750652207
75% Corpus,2,asymmetric,0.9099999999999999,0.3356678769351753
75% Corpus,2,asymmetric,symmetric,0.3205955219566874
75% Corpus,3,0.01,0.01,0.40408896358574015
75% Corpus,3,0.01,0.31,0.44298867719537993
75% Corpus,3,0.01,0.61,0.43446667278523793
75% Corpus,3,0.01,0.9099999999999999,0.4261051910969498
75% Corpus,3,0.01,symmetric,0.4348350194760549
75% Corpus,3,0.31,0.01,0.43057774481507866
75% Corpus,3,0.31,0.31,0.4293624474068538
75% Corpus,3,0.31,0.61,0.42616454257166686
75% Corpus,3,0.31,0.9099999999999999,0.4278293932266264
75% Corpus,3,0.31,symmetric,0.4293624474068538
75% Corpus,3,0.61,0.01,0.42927274302237434
75% Corpus,3,0.61,0.31,0.4373083548426813
75% Corpus,3,0.61,0.61,0.4089972893650364
75% Corpus,3,0.61,0.9099999999999999,0.4043376173839297
75% Corpus,3,0.61,symmetric,0.46013641129683974
75% Corpus,3,0.9099999999999999,0.01,0.44861722772331053
75% Corpus,3,0.9099999999999999,0.31,0.4460884433047298
75% Corpus,3,0.9099999999999999,0.61,0.4539901571398441
75% Corpus,3,0.9099999999999999,0.9099999999999999,0.4396644939102668
75% Corpus,3,0.9099999999999999,symmetric,0.44608844330472985
75% Corpus,3,symmetric,0.01,0.46467964860079397
75% Corpus,3,symmetric,0.31,0.4216030374033372
75% Corpus,3,symmetric,0.61,0.4215962618151194
75% Corpus,3,symmetric,0.9099999999999999,0.4268624049014292
75% Corpus,3,symmetric,symmetric,0.42974098268339395
75% Corpus,3,asymmetric,0.01,0.4252289203447858
75% Corpus,3,asymmetric,0.31,0.30606699520907327
75% Corpus,3,asymmetric,0.61,0.42541301550519206
75% Corpus,3,asymmetric,0.9099999999999999,0.5341713432616843
75% Corpus,3,asymmetric,symmetric,0.2888618211302508
75% Corpus,4,0.01,0.01,0.4529926621191642
75% Corpus,4,0.01,0.31,0.4286081551557449
75% Corpus,4,0.01,0.61,0.42388724744505435
75% Corpus,4,0.01,0.9099999999999999,0.3847636903120872
75% Corpus,4,0.01,symmetric,0.4452183196781576
75% Corpus,4,0.31,0.01,0.4351749438246707
75% Corpus,4,0.31,0.31,0.4473482975972967
75% Corpus,4,0.31,0.61,0.4417293674471968
75% Corpus,4,0.31,0.9099999999999999,0.43321951812791126
75% Corpus,4,0.31,symmetric,0.4499413927037584
75% Corpus,4,0.61,0.01,0.46584089934012973
75% Corpus,4,0.61,0.31,0.4745189565125358
75% Corpus,4,0.61,0.61,0.4527197753502826
75% Corpus,4,0.61,0.9099999999999999,0.4545939520811697
75% Corpus,4,0.61,symmetric,0.474711024084494
